"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","47uF","","","","",""
"C2","1","100uF","","","","",""
"C3","1","220uF","","","","",""
"C4,C5,C7,C8,C9","5","1000pF","","","","","~"
"C6","1","0.01uF","","","","","~"
"C10","1","220pF","","","","","~"
"C11","1","2200pF","","","","","~"
"C12","1","1uF","","","","",""
"D1","1","11V","","","","","~"
"D2","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"R1,R2,R10","3","4.7K","","","","","~"
"R3","1","33","","","","","~"
"R4,R5","2","10M","","","","","~"
"R6,R8,R13","3","100K","","","","","~"
"R7,R9,R14,R15,R16,R17","6","47K","","","","","~"
"R11","1","4.7M","","","","","~"
"R12","1","68K","","","","","~"
"R18,R19,R20","3","10K","","","","","~"
"RV1","1","Tuner","","","","","~"
"RV2","1","RATE","","","","","~"
"RV3","1","DEPTH","","","","","~"
"SW1","1","STAGE","","","","Button_Switch_SMD:Nidec_Copal_CAS-120A","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"SW2","1","VIBRATO","","","","Button_Switch_SMD:Nidec_Copal_CAS-120A","https://www.nidec-components.com/e/catalog/switch/cas.pdf"
"U1,U2","2","TL062","","","","","http://www.ti.com/lit/ds/symlink/tl061.pdf"
"U3","1","~","","","","",""
"U5","1","MN3207","","","","","http://www.experimentalistsanonymous.com/diy/Datasheets/MN3207.pdf"
